Source,vW (GHz s),L (Jy kpc^2)
UV Ceti,17842.6277712,5.2513e-07
AD Leo,414.4117248,4.6421492e-07
YZ Cmi,9043.3456128,8.696152800000001e-07
AU Mic,6274.2101472,1.70982328e-06
TVLM513,2520.0,0.00000044100
UV Ceti,50,2.0e-7
AD Leo,1000,1.0e-6
BD LP944-20,2000,5.0e-8
