Source,vW (GHz s),L (Jy kpc^2)
V1500Cyg,21673923.358752,0.78386365152
NovaSco2012,10726466.159318399,0.7392519675520001
TPyx,19833842.8082736,1.1657886
V1723Aql,3894401.0580048,1.20989952
V407Cyg,38113325.119857594,1.8568596800000001
RSOph,11816430.9249888,1.7749394
V1974Cyg,38552149.7428464,1.0021370868000001
SSCyg,344625.61985280004,0.00017198007500000002
