Source,vW (GHz s),L (Jy kpc^2)
CFOct2,2140874.8305408,0.03733160839555555
HR1099,472771.13377536,0.014400377425000001
HR1099,136702.9046016,0.010654980910575
HR1099,311552.80425216,0.016088801657500002
HR1099,1036724.5515110401,0.013047604473075
UXAri,423355.9723776,0.0237621325
HR1099,225403.6301568,0.013685019082500001
UXAri,1254858.9959116802,0.023499567500000002
HR1099,405385.12689407996,0.00654050727825
UXAri,289345.78550016,0.00628843175
