Source,vW (GHz s),L (Jy kpc^2)
GRB970508,4913187.6198528,430606600000.00006
GRB030329new1,8232453.3831552,82733578686.09196
GRB110709B,4702629.5266608,5468236968334.172
GRB060418,5027462.60177664,337396025000.0
