Source class,Source name,L (Jy kpc^2),vW (GHz s)
FRB,FRB 20121102,48450461538.46154,0.0025350000000000004
FRB,FRB 20121102,67484571428.57143,0.0027300000000000002
FRB,FRB 20121102,319559294117.64703,0.00442
FRB,FRB 20121102,115017182608.69566,0.007475
FRB,FRB 20121102,133502086956.52173,0.005980000000000001
FRB,FRB 20121102,60953806451.6129,0.0020150000000000003
FRB,FRB 20121102,629856000000.0,0.001755
FRB,FRB 20121102,111151058823.5294,0.00221
FRB,FRB 20121102,96900923076.92308,0.0025350000000000004
FRB,FRB 20121102,69984000000.0,0.005265000000000001
FRB,FRB 20121102,92174048780.48781,0.0026650000000000003
FRB,FRB 20121102,198901894736.8421,0.0012350000000000002
FRB,FRB 20121102,92174048780.48781,0.0026650000000000003
FRB,FRB 20121102,367416000000.00006,0.00117
FRB,FRB 20121102,91854000000.00002,0.00468
FRB,FRB 20121102,253067142857.14285,0.010920000000000001
FRB,FRB 20121102,97257176470.58824,0.00442
FRB,FRB 20121102,690010786516.8539,0.004984
FRB,FRB 20121102,166726588235.29413,0.0047599999999999995
FRB,FRB 20121102,783479414634.1464,0.0028699999999999997
FRB,FRB 20121102,314928000000.0,0.00294
FRB,FRB 20121102,103335749999.99998,0.00448
FRB,FRB 20121102,240827294117.6471,0.007139999999999999
FRB,FRB 20121102,209952000000.0,0.00252
FRB,FRB 20121102,198901894736.84213,0.0026599999999999996
FRB,FRB 20121102,363378461538.4615,0.0036399999999999996
FRB,FRB 20121102,103476342857.14285,0.00294
FRB,FRB 20121102,162893793103.44827,0.004059999999999999
FRB,FRB 20121102,199454400000.0,0.00252
FRB,FRB 20121102,188956799999.99997,0.0049
FRB,FRB 20121102,102693913043.47827,0.0064399999999999995
FRB,FRB 20121102,367415999999.99994,0.00252
FRB,FRB 20121102,133068169014.08452,0.00994
FRB,FRB 20121102,153208216216.2162,0.00518
FRB,FRB 20121102,719835428571.4286,0.004409999999999999
FRB,FRB 20121102,200408727272.72726,0.004619999999999999
FRB,FRB 20121102,239345279999.99997,0.0105
FRB,FRB 20121102,180916085106.38297,0.00658
FRB,FRB 20121102,768348433734.9398,0.004647999999999999
FRB,FRB 20121102,2153079183673.4695,0.006468
FRB,FRB 20121102,359917714285.7143,0.0023100000000000004
FRB,FRB 20121102,1030673454545.4547,0.00363
FRB,FRB 20121102,749828571428.5714,0.001386
FRB,FRB 20121102,384058536585.36584,0.002706
FRB,FRB 20121102,3959094857142.8574,0.004620000000000001
FRB,FRB 20121102,333453176470.58826,0.020399999999999998
